timestamp,latitude,longitude,altitude,nic,nac_p,gpsOkBefore,callsign,aircraft_type,radio_horizon
4/9/2024 1:54,33.934395,44.710751,40900,0,0,0,THY056,A359,1308354.143
4/9/2024 1:56,33.758053,24.709911,35000,0,0,0,,B77W,1210312.955
4/9/2024 1:56,33.693764,24.77869,38975,0,0,0,ETH501,B789,1277193.565
4/9/2024 1:56,41.754318,36.075606,37000,4,4,0,SIA319,A388,1244412.95
4/9/2024 1:57,33.921452,44.711094,38925,0,0,0,QTR8J,A359,1276374.063
4/9/2024 2:00,33.633804,24.842491,39450,0,0,0,ETH710,A359,1284952.766
4/9/2024 2:00,37.873039,26.248249,41000,0,0,0,UAE28Y,A388,1309952.621
4/9/2024 2:00,39.262253,29.712763,33000,0,0,0,THY3AF,A321,1175223.94
4/9/2024 2:00,40.982635,29.749229,38975,0,0,0,VTI021,B789,1277193.565
4/9/2024 2:00,35.877251,29.872644,39125,0,0,0,ELY313,B738,1279648.922
4/9/2024 2:00,40.264572,31.923462,33000,0,0,0,THY54,B77W,1175223.94
4/9/2024 2:00,37.465851,34.890182,19500,2,8,0,THY5SW,B739,903401.8292
4/9/2024 2:00,34.196274,43.88483,37000,6,0,0,THY99D,B77W,1244412.95
4/9/2024 2:02,41.351486,33.237915,35000,0,0,0,,B38M,1210312.955
4/9/2024 2:02,32.998741,44.467163,37975,0,0,0,BYD090,A319,1260702.317
4/9/2024 2:03,39.949082,37.178671,37000,6,8,0,MXD0724,A333,1244412.95
4/9/2024 2:05,39.272827,33.446144,34950,0,0,0,THY2VK,A321,1209448.137
4/9/2024 2:06,39.865036,35.748856,31850,0,0,0,THY6305,B77L,1154564.974
4/9/2024 2:11,32.660889,44.470074,14125,0,0,0,QTR1173,B38M,768878.803
4/9/2024 2:12,41.055222,39.150269,38000,0,6,0,BAW16,B789,1261117.227
4/9/2024 2:18,30.599251,31.201008,20500,0,0,0,,B738,926276.3815
4/9/2024 2:18,29.888213,33.168909,30825,0,8,0,ETH404,B38M,1135834.884
4/9/2024 2:24,33.85479,44.713497,36925,0,0,0,DLH767,A346,1243151.081
4/9/2024 2:27,33.461609,44.661217,34975,0,0,0,,B77W,1209880.624
4/9/2024 2:29,28.522556,33.683974,40000,6,6,0,ETH706,A359,1293878.974
4/9/2024 2:32,40.348206,38.077515,38000,0,0,0,DLH631,A333,1261117.227
4/9/2024 2:33,30.084229,31.351588,38000,0,0,0,IBE6700,A332,1261117.227
4/9/2024 2:33,41.018646,39.57312,36000,0,0,0,AFR111,B77W,1227481.373
4/9/2024 2:35,29.286072,30.526146,41000,0,0,0,QTR63W,B789,1309952.621
4/9/2024 2:35,33.414452,44.675064,37975,0,0,0,QTR63W,B789,1260702.317
4/9/2024 2:36,36.598663,25.083504,37000,0,0,0,ELY397,B738,1244412.95
4/9/2024 2:38,36.9133,30.799,33025,0,0,0,,A321,1175669.017
4/9/2024 2:38,41.086864,33.989452,39000,0,0,0,ALK504,A333,1277603.119
4/9/2024 2:39,39.437428,35.805054,38000,0,0,0,THY734,A333,1261117.227
4/9/2024 2:41,28.677249,33.465702,38000,0,0,0,ETH728,A359,1261117.227
4/9/2024 2:44,42.095839,35.828907,39000,0,0,0,SIA331,A359,1277603.119
4/9/2024 2:45,39.577927,42.328472,38000,0,0,0,DLH762,A388,1261117.227
4/9/2024 2:48,41.825226,31.671461,33000,0,0,0,EVA067,B77W,1175223.94
4/9/2024 2:50,40.057892,40.879333,38000,0,0,0,DLH773,A359,1261117.227
4/9/2024 2:51,34.625694,30.131493,39000,0,0,0,FDB4XY,B38M,1277603.119
4/9/2024 2:51,39.797555,36.834045,40000,0,0,0,THY163,A359,1293878.974
4/9/2024 2:51,32.968277,44.463814,33975,0,0,0,,B789,1192458.827
4/9/2024 2:51,33.622353,44.636307,38950,0,0,0,,A35K,1276783.88
4/9/2024 2:54,29.468451,32.33858,38000,0,0,0,ETH718,A359,1261117.227
4/9/2024 2:56,39.398464,42.502869,34000,0,0,0,,A21N,1192897.473
4/9/2024 2:57,36.9091,30.798201,37000,0,0,0,,B738,1244412.95
4/9/2024 2:59,39.191536,42.684998,40550,0,0,0,,A333,1302744.023
4/9/2024 3:00,39.353912,35.512329,35975,0,0,0,SWR243,A333,1227055.09
4/9/2024 3:03,39.06546,34.494564,23125,0,0,0,SXS18V,B738,983794.8179
4/9/2024 3:03,39.576004,42.333904,38000,0,0,0,,A359,1261117.227
4/9/2024 3:03,39.176331,42.768402,36000,0,0,0,THY54,B77W,1227481.373
4/9/2024 3:08,41.172941,39.918698,47000,6,0,0,VJT993,GLEX,1402531.386
4/9/2024 3:08,33.781723,44.715702,35975,0,0,0,ETD6HZ,B789,1227055.09
4/9/2024 3:09,33.761963,24.705849,41000,0,0,0,ETH574,B788,1309952.621
4/9/2024 3:11,28.874496,35.501949,38000,0,0,0,RAM216,B789,1261117.227
4/9/2024 3:15,40.172859,37.836165,38000,4,4,0,QTR33P,A388,1261117.227
4/9/2024 3:15,41.057968,39.934937,38000,0,0,0,STW012,B773,1261117.227
4/9/2024 3:15,33.834641,44.71402,33975,0,0,0,ETD98V,B789,1192458.827
4/9/2024 3:17,33.696419,24.775829,44975,0,0,0,VJT929,GLEX,1371984.629
4/9/2024 3:17,41.683273,38.524621,40000,0,0,1712625276,HVN11,A359,1293878.974
4/9/2024 3:18,41.688088,38.364769,38000,0,0,1712625347,CPA271,A35K,1261117.227
4/9/2024 3:18,41.085068,40.054626,38000,6,6,0,BAW12,A388,1261117.227
4/9/2024 3:20,41.688367,38.411652,40000,0,0,1712625421,HVN19,A359,1293878.974
4/9/2024 3:21,33.76506,24.70203,36950,0,0,0,KNE659,A20N,1243571.846
4/9/2024 3:23,40.032486,41.679626,33000,0,0,0,AUA642,A320,1175223.94
4/9/2024 3:26,40.103636,40.728378,34000,0,0,0,UAE243,B77L,1192897.473
4/9/2024 3:29,37.236694,25.348497,37000,0,0,0,MSR780,A20N,1244412.95
4/9/2024 3:29,41.027232,39.457335,34000,0,0,0,THA920,B77W,1192897.473
4/9/2024 3:30,38.353958,26.261415,22325,0,0,0,SXS2RE,B738,966628.0504
4/9/2024 3:36,29.717743,31.685152,22275,0,0,0,MSC3108,A20N,965544.9934
4/9/2024 3:36,39.625443,42.196815,38000,0,0,0,,A359,1261117.227
4/9/2024 3:38,41.687531,38.393721,40000,0,0,1712626499,DLH727,A359,1293878.974
4/9/2024 3:39,40.665568,38.813574,36000,0,0,0,SIA26,B77W,1227481.373
4/9/2024 3:39,39.564655,42.366455,34000,0,0,0,,B77W,1192897.473
4/9/2024 3:44,40.907734,28.994606,6600,0,0,0,THY322,A321,525576.1239
4/9/2024 3:48,39.978836,37.43457,34000,0,0,0,QTR6V,B77W,1192897.473
4/9/2024 3:50,39.067291,34.541199,23325,0,0,0,SXS3UB,B738,988039.907
4/9/2024 3:51,36.925552,25.197786,38975,0,0,0,,B789,1277193.565
4/9/2024 3:54,41.022158,39.721506,39000,5,8,0,VTI018,B789,1277603.119
4/9/2024 3:56,33.238159,44.575119,34925,0,0,0,UAE81W,B77L,1209015.496
4/9/2024 3:57,40.472702,32.208294,23350,0,0,0,THY1AH,A320,988569.2614
4/9/2024 3:57,39.937863,37.238222,35950,0,0,0,AZV903,B752,1226628.659
4/9/2024 3:57,41.683712,38.498265,40000,0,0,1712627666,CPA289,A359,1293878.974
4/9/2024 3:57,40.057343,40.880798,40000,0,0,0,SIA351,A359,1293878.974
4/9/2024 4:03,40.336257,38.112633,36000,6,9,0,UAE7,A388,1227481.373
4/9/2024 4:03,41.009445,39.90033,38000,0,0,1712628188,CSC3863,A333,1261117.227
4/9/2024 4:05,33.459885,25.580601,1200,0,0,0,TAR913,A20N,224106.4122
4/9/2024 4:05,40.757786,28.918449,15125,0,0,0,THY71M,A333,795630.3688
4/9/2024 4:05,29.330284,33.91668,32000,0,0,0,JZR723,A320,1157280.536
4/9/2024 4:06,39.788544,36.939677,40000,0,0,0,THA900,A359,1293878.974
4/9/2024 4:06,41.686458,38.426343,40000,0,0,1712628210,THY85,A359,1293878.974
4/9/2024 4:06,33.819687,44.71447,38900,0,0,0,,A359,1275964.115
4/9/2024 4:08,40.578747,34.329403,35000,0,0,0,,B738,1210312.955
4/9/2024 4:09,33.295624,25.7096,43000,0,0,0,,GLF6,1341522.273
4/9/2024 4:09,40.038649,40.941426,40000,0,0,0,SIA352,A359,1293878.974
4/9/2024 4:14,40.279312,38.035706,34000,6,8,0,CSC3895,A332,1192897.473
4/9/2024 4:15,33.208549,25.777794,37000,0,0,0,,A359,1244412.95
